Confidence,DoriC oriCs found,Z_oriCs correct,Distance_bp,Distance_pc,Total_DoriCs,accession_with_a_ZoriC,Total_accessions
0,86.76,83.75,87216.41070090958,2.768860353130016,9345,7305,7305
10,86.00,86.02,79078.23439223472,2.514008382969336,9345,7040,7305
20,84.72,88.94,67580.08047827087,1.9343527247643135,9345,6697,7305
30,82.46,90.97,57883.21443174985,1.5249549007817198,9345,6365,7305
40,79.40,95.45,36788.168762151654,0.9036941023979261,9345,5844,7305
50,75.58,96.45,32174.172868323494,0.7097349993134697,9345,5497,7305
60,70.06,97.49,28901.669107756687,0.5532805260798087,9345,5018,7305
70,64.27,98.09,25944.473968565817,0.4656188605108055,9345,4549,7305
80,57.40,98.08,26635.61044912924,0.48230980751604036,9345,4012,7305
90,52.03,98.22,25152.66255060729,0.44696356275303645,9345,3591,7305
100,43.38,98.26,24806.273500121446,0.4495992227350012,9345,2929,7305